Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned,Year
Naomi D'Almeida,F,SBD,Raw,20.5,20-23,19-23,Open,95.8,84+,-175,175,182.5,NA,182.5,90,-95,95,NA,95,175,190,200,NA,200,477.5,2,414.52,402.99,347.99,86.2,Yes,Wales,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Kerry Wood,F,SBD,Raw,23.5,24-34,24-39,Open,83.6,84,155,162.5,167.5,NA,167.5,92.5,97.5,101,NA,101,170,180,190,NA,190,458.5,2,422.85,409.84,358.42,86.75,Yes,UK,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Scott Walton,M,SBD,Raw,23,20-23,24-39,Open,73.85,74,222.5,232.5,240,NA,240,171,-178,-200,NA,171,235,-247.5,-252.5,NA,235,646,4,468.1,465.35,449.93,94.94,Yes,England,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Amy Middlemas,F,SBD,Raw,22,20-23,19-23,Open,56.65,57,132.5,137.5,140,NA,140,72.5,77.5,-80,NA,77.5,162.5,170,-175,NA,170,387.5,2,445.75,451.83,399.57,91.32,Yes,England,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Mia Wannop,F,SBD,Raw,23.5,24-34,24-39,Open,51.15,52,-122.5,122.5,132.5,NA,132.5,55,60,62.5,NA,62.5,135,142.5,-147.5,NA,142.5,337.5,3,416.14,426.11,377.96,86.45,Yes,England,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Sam Walker,M,SBD,Raw,20.5,20-23,19-23,Open,82.4,83,-242.5,242.5,260,NA,260,165,172.5,-180,NA,172.5,280,300,-302.5,NA,300,732.5,1,496.53,491.06,472.53,101.77,Yes,England,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Tomos Atkinson,M,SBD,Raw,23,20-23,24-39,Open,159.2,120+,290,308,315.5,NA,315.5,162.5,170,172.5,NA,172.5,290,317.5,330.5,NA,330.5,818.5,1,433.27,449.04,421.66,84.98,Yes,Wales,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Brandon Teh,M,SBD,Raw,24.5,24-34,24-39,Open,73.05,74,240,252.5,260,NA,260,152.5,157.5,-160,NA,157.5,265,285,292.5,NA,292.5,710,2,518.16,515.46,498.62,104.94,Yes,England,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Llio Godfrey-Flower,F,SBD,Raw,23.5,24-34,24-39,Open,75.25,76,177.5,189,-196.5,NA,189,115.5,123,125.5,NA,125.5,182.5,195,205,NA,205,519.5,2,505.09,492.83,433.46,102.91,Yes,UK,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Isabel Dowling,F,SBD,Raw,24,24-34,24-39,Open,67.9,69,147.5,155,160,NA,160,97.5,-100,100,NA,100,157.5,170,175,NA,175,435,4,447.57,442.1,389.95,90.94,Yes,England,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
